LOG_MESSAGE,ALIAS
4/11/2022,OOS Color
 ,Good
1st sample OOS Microtrac,OOS PSD
Already outside,Outside
Approved - Feel Mix #4509A,Good
Approved - Feel Mix #4509A - Rejected by SL4,Good
Approved - Feel mix 4509A,Good
Bag 1 failed external size distribution - 325 US Mesh. Failed internal microtrac spec,OOS PSD
Bag dumped to check moisture for Berkshire brass.,Moisture
BROKEN STRAP - Special Release Mal 10 to Laneshaw via MOC 230228-002,Damaged
BROKEN STRAPS,Damaged
BUGS,Foreign Material
"Check for clumps SH: Highgate, Risegate, Swanbridge, Weybourne, Torquay, Fairbourne, Newport, Bradwell, St. Giles, Windrush",Moisture
CLUMPS,Moisture
Clumps,Moisture
Clumps - Duluth inspection,Moisture
Clumps - Inspected in Duluth,Moisture
Clumps Inspected in Duluth,Moisture
Clumps Inspected in Duluth.,Moisture
Color,OOS Color
COLOR   Approved R&D 4-3-21,OOS Color
COLOR  Aproved per R&D 4-23-21,OOS Color
COLOR  Aproved R&D 4-23-21,OOS Color
Color very different from standard.,OOS Color
Contaminated damaged bag.,Damaged
Contaminated with K 1-4--Bob okayed the release of this,Foreign Material
Contaminated with K1-4--Bob okayed the release of this,Foreign Material
Contamination,Foreign Material
Damaged bag,Damaged
Do not use. Return to Vendor 3/12/20,SCAR
Do not use. Return to Vendor 3/12/20 Scrap 11/18/21. Failed external color spec,OOS Color
Do not use. Return to Vendor 3/12/20. NPB 7/13/20 Failed external color spec,OOS Color
do not use-need approval from R&D or QA management - alternitive for Firemist blue,R&D
Duluth found clumps during inspection.,Moisture
Duluth inspection - wet product,Moisture
Excess Pigment,Foreign Material
Failed external color,OOS Color
Failed external color spec,OOS Color
Failed external color spec and bag 1 failed external size distribution - 325 US Mesh. Failed internal microtrac spec,OOS Color & PSD
Failed external color spec and internal microtrac,OOS Color & PSD
"Failed external color spec, Bag 1 failed external size distribution - 325 US Mesh and internal microtrac spec",OOS Color & PSD
"Failed external color spec, comp failed microtrac",OOS Color & PSD
Failed external color spec. Bag 1 failed external size distribution - 325 US Mesh. Failed internal microtrac spec,OOS Color & PSD
Failed external color spec. Bag 1 failed internal microtrac spec,OOS Color & PSD
Failed external PSD,OOS PSD
Failed external PSD spec and internal color spec,OOS Color & PSD
Failed external spec for color,OOS Color
"Failed pH, needs feel mix, OOS Color",OOS Color & pH
Failed PSD,OOS PSD
For blending trials,R&D
For blending trials - failed bag,R&D
For R&D testing purposes only. DO NOT consume for production.,R&D
Foreign Contamination,Foreign Material
Foreign Material,Foreign Material
"Foreign Material - Releases RW3462, RW3463",Foreign Material
"Foreign Material - Releases: RW3468, RW3469",Foreign Material
Foreign Material Identified. Sorted - LS Raw 1/18/23,Foreign Material
High B color,OOS Color
"High Fines, OOS Color & PSD",OOS Color & PSD
Hold for R&D samples and testing.,R&D
Hopper return,Hopper Return
"Hopper return, OOS Color",OOS Color
"HR L3 H34/Only use in Shirebrook, Canterbury, Bradshaw, Buckingham, Linwood or Lincolnshire.",Special Handle
"HR L3 H44/Only use in Shirebrook, Canterbury, Bradshaw, Buckingham, Linwood or Lincolnshire.",Special Handle
"HR L3 H45/SH; Only use in Shirebrook, Linwood or Lincolnshire.",Special Handle
"HR L3 H64/Only use in Shirebrook, Canterbury, Bradshaw, Buckingham, Linwood or Lincolnshire.",Special Handle
"HR L4 H36/; Only use in Shirebrook, Linwood or Lincolnshire.",Special Handle
"HR L4/; Only use in Shirebrook, Linwood or Lincolnshire.",Special Handle
HR L5 H18,Hopper Return
"HR L5 H26/Use in Shirebrook, Linwood or Lincolnshire.",Special Handle
HR L5 H57/Only use in Sharpham or Skye,Special Handle
HR L5 H57/Only use in Sharpham or SKye.,Special Handle
"HR/SH; Only use in Shirebrook, Linwood or Lincolnshire.",Special Handle
In WIP,Consumed
Incorrect Material,Incorrect Material
Inspected bags on SL4 Seems dry but they had one wet bag in this lot,Moisture
INVENTORY ADJUSTENTS,Inventory Adjustments
